Geography,Date,Weekly Cases,New Historic Cases
United States,Nov 16 2022,280711,0
United States,Nov  9 2022,289884,0
United States,Nov  2 2022,274375,0
United States,Oct 26 2022,262436,0
United States,Oct 19 2022,261410,0
United States,Oct 12 2022,265702,0
United States,Oct  5 2022,320319,0
United States,Sep 28 2022,342796,0
United States,Sep 21 2022,397226,0
United States,Sep 14 2022,472407,0
United States,Sep  7 2022,525176,0
United States,Aug 31 2022,616502,0
United States,Aug 24 2022,652000,0
United States,Aug 17 2022,694030,0
United States,Aug 10 2022,772553,0
United States,Aug  3 2022,836962,0
United States,Jul 27 2022,926204,0
United States,Jul 20 2022,905396,0
United States,Jul 13 2022,865117,0
United States,Jul  6 2022,779375,0
United States,Jun 29 2022,772176,0
United States,Jun 22 2022,693007,0
United States,Jun 15 2022,726094,0
United States,Jun  8 2022,773103,0
United States,Jun  1 2022,718887,0
United States,May 25 2022,774381,0
United States,May 18 2022,698502,0
United States,May 11 2022,582647,0
United States,May  4 2022,450104,0
United States,Apr 27 2022,366677,0
United States,Apr 20 2022,293471,0
United States,Apr 13 2022,227179,0
United States,Apr  6 2022,194267,0
United States,Mar 30 2022,193118,0
United States,Mar 23 2022,192768,0
United States,Mar 16 2022,212555,0
United States,Mar  9 2022,268442,0
United States,Mar  2 2022,366917,0
United States,Feb 23 2022,545147,0
United States,Feb 16 2022,921684,0
United States,Feb  9 2022,1480309,0
United States,Feb  2 2022,2688646,0
United States,Jan 26 2022,4408158,0
United States,Jan 19 2022,5603140,0
United States,Jan 12 2022,5499553,0
United States,Jan  5 2022,4132077,0
United States,Dec 29 2021,2146364,0
United States,Dec 22 2021,1161622,0
United States,Dec 15 2021,838790,0
United States,Dec  8 2021,843293,0
United States,Dec  1 2021,614489,0
United States,Nov 24 2021,669179,0
United States,Nov 17 2021,614069,0
United States,Nov 10 2021,537889,0
United States,Nov  3 2021,503775,0
United States,Oct 27 2021,505841,0
United States,Oct 20 2021,533621,0
United States,Oct 13 2021,618532,0
United States,Oct  6 2021,706101,0
United States,Sep 29 2021,800748,0
United States,Sep 22 2021,920524,0
United States,Sep 15 2021,1086356,0
United States,Sep  8 2021,1067549,0
United States,Sep  1 2021,1177442,0
United States,Aug 25 2021,1011098,0
United States,Aug 18 2021,1002326,0
United States,Aug 11 2021,903205,0
United States,Aug  4 2021,671555,0
United States,Jul 28 2021,454340,0
United States,Jul 21 2021,288909,0
United States,Jul 14 2021,179111,0
United States,Jul  7 2021,109655,0
United States,Jun 30 2021,93907,0
United States,Jun 23 2021,82212,0
United States,Jun 16 2021,86728,0
United States,Jun  9 2021,99995,0
United States,Jun  2 2021,111245,0
United States,May 26 2021,161357,0
United States,May 19 2021,208709,0
United States,May 12 2021,253650,0
United States,May  5 2021,325963,0
United States,Apr 28 2021,369795,0
United States,Apr 21 2021,446715,0
United States,Apr 14 2021,497151,0
United States,Apr  7 2021,458792,0
United States,Mar 31 2021,448596,0
United States,Mar 24 2021,402851,0
United States,Mar 17 2021,382375,0
United States,Mar 10 2021,392655,0
United States,Mar  3 2021,443748,0
United States,Feb 24 2021,476527,0
United States,Feb 17 2021,539439,0
United States,Feb 10 2021,727796,0
United States,Feb  3 2021,955697,0
United States,Jan 27 2021,1141007,0
United States,Jan 20 2021,1378621,0
United States,Jan 13 2021,1709592,0
United States,Jan  6 2021,1605337,0
United States,Dec 30 2020,1302207,0
United States,Dec 23 2020,1500119,0
United States,Dec 16 2020,1525883,0
United States,Dec  9 2020,1480702,0
United States,Dec  2 2020,1172955,0
United States,Nov 25 2020,1252299,0
United States,Nov 18 2020,1143864,0
United States,Nov 11 2020,919098,0
United States,Nov  4 2020,704449,0
United States,Oct 28 2020,528211,0
United States,Oct 21 2020,434000,0
United States,Oct 14 2020,371600,0
United States,Oct  7 2020,318266,0
United States,Sep 30 2020,296285,0
United States,Sep 23 2020,306166,0
United States,Sep 16 2020,271440,0
United States,Sep  9 2020,255764,0
United States,Sep  2 2020,289634,0
United States,Aug 26 2020,296099,0
United States,Aug 19 2020,330715,0
United States,Aug 12 2020,377334,0
United States,Aug  5 2020,398138,0
United States,Jul 29 2020,450916,0
United States,Jul 22 2020,467185,0
United States,Jul 15 2020,441049,0
United States,Jul  8 2020,369612,0
United States,Jul  1 2020,311665,0
United States,Jun 24 2020,219322,0
United States,Jun 17 2020,158854,0
United States,Jun 10 2020,142624,0
United States,Jun  3 2020,144972,0
United States,May 27 2020,145735,0
United States,May 20 2020,157657,0
United States,May 13 2020,159476,0
United States,May  6 2020,188366,0
United States,Apr 29 2020,196926,0
United States,Apr 22 2020,199518,0
United States,Apr 15 2020,206941,0
United States,Apr  8 2020,219715,0
United States,Apr  1 2020,158508,0
United States,Mar 25 2020,60202,0
United States,Mar 18 2020,8108,0
United States,Mar 11 2020,1169,0
United States,Mar  4 2020,112,0
United States,Feb 26 2020,24,0
United States,Feb 19 2020,15,0
United States,Feb 12 2020,10,0
United States,Feb  5 2020,10,0
United States,Jan 29 2020,5,0
